2020-2021 (2021),http://www.espn.com/nba/salaries/_/year/2021/seasontype/3,564,28.2,,2019-2020,http://www.espn.com/nba/salaries/_/year/2020/seasontype/3,526,,,2018-2019,http://www.espn.com/nba/salaries/_/year/2019/seasontype/3,499,,,2017-2018,http://www.espn.com/nba/salaries/_/year/2018/seasontype/3,589,,,2016-2017,http://www.espn.com/nba/salaries/_/year/2017/seasontype/3,582,,,2015-16,http://www.espn.com/nba/salaries/_/year/2016/seasontype/3,512,,,2014-15,http://www.espn.com/nba/salaries/_/year/2015/seasontype/3,517,,,2013-14,http://www.espn.com/nba/salaries/_/year/2014/seasontype/3,426,,,2012-13,http://www.espn.com/nba/salaries/_/year/2013/seasontype/3,690,,,2011-12,http://www.espn.com/nba/salaries/_/year/2012/seasontype/3,614,,,2010-11,http://www.espn.com/nba/salaries/_/year/2011/seasontype/3,538,,,2009-10,http://www.espn.com/nba/salaries/_/year/2010/seasontype/3,480,
20,"Pascal Siakam, PF",Toronto Raptors,30559200,,20,"Paul Millsap, PF",Denver Nuggets,30350000,,20,"Andrew Wiggins, SF",Minnesota Timberwolves,25467250,,20,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303,,20,"Chandler Parsons, SF",Memphis Grizzlies,22116750,,20,"Greg Monroe, C",Milwaukee Bucks,16407500,,20,"David Lee, PF",Golden State Warriors,15012000,,20,"LaMarcus Aldridge, C",Portland Trail Blazers,14878000,,20,"Russell Westbrook, PG",Oklahoma City Thunder,14693906,,20,"Zach Randolph, F",Memphis Grizzlies,15200000,,20,"Deron Williams, PG",New Jersey Nets,14940153,,20,"Dwyane Wade, G",Miami Heat,15779912
RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY
21,"Ben Simmons, PG",Philadelphia 76ers,30559200,,21,"Damian Lillard, PG",Portland Trail Blazers,29802321,,21,"Bradley Beal, SG",Washington Wizards,25434263,,21,"Kevin Love, PF",Cleveland Cavaliers,24119025,,21,"Derrick Rose, PG",New York Knicks,21323252,,21,"Wesley Matthews, SG",Dallas Mavericks,16407500,,21,"Dwyane Wade, G",Miami Heat,15000000,,21,"Marc Gasol, C",Memphis Grizzlies,14860523,,21,"Emeka Okafor, C",Washington Wizards,14487500,,21,"Antawn Jamison, PF",Cleveland Cavaliers,15076715,,21,"Chris Bosh, PF",Miami Heat,14500000,,21,"Chris Bosh, PF",Toronto Raptors,15779912
22,"Kyle Lowry, PG",Toronto Raptors,30500000,,22,"Kevin Love, PF",Cleveland Cavaliers,28942830,,22,"Anthony Davis, PF",New Orleans Pelicans,25434263,,22,"Nicolas Batum, PF",Charlotte Hornets,24000000,,22,"Marc Gasol, C",Memphis Grizzlies,21165675,,22,"Jimmy Butler, SF",Chicago Bulls,16407500,,22,"Eric Gordon, SG",New Orleans Pelicans,14898938,,22,"Brook Lopez, C",Brooklyn Nets,14693906,,22,"Luol Deng, F",Chicago Bulls,14275000,,22,"Rudy Gay, SF",Memphis Grizzlies,15032144,,22,"LeBron James, SF",Miami Heat,14500000,,22,"Carmelo Anthony, PF",Denver Nuggets,15779912
23,"Steven Adams, C",New Orleans Pelicans,29592696,,23,"Nikola Vucevic, C",Orlando Magic,28000000,,23,"Andre Drummond, C",Detroit Pistons,25434263,,23,"CJ McCollum, SG",Portland Trail Blazers,23962573,,23,"Brook Lopez, C",Brooklyn Nets,21165675,,23,"Kawhi Leonard, SF",San Antonio Spurs,16407500,,23,"Roy Hibbert, C",Indiana Pacers,14898938,,23,"Kevin Love, PF",Minnesota Timberwolves,14693906,,23,"Manu Ginobili, G",San Antonio Spurs,14107492,,23,"Brandon Roy, SG",Minnesota Timberwolves,15032144,,23,"Jason Richardson, SG",Orlando Magic,14444443,,23,"LeBron James, SF",Cleveland Cavaliers,15779912
24,"Joel Embiid, C",Philadelphia 76ers,29542010,,24,"Al Horford, C",Philadelphia 76ers,28000000,,24,"Hassan Whiteside, C",Miami Heat,25434262,,24,"Dwight Howard, C",Charlotte Hornets,23819725,,24,"Kevin Love, PF",Cleveland Cavaliers,21165675,,24,"Enes Freedom, C",Oklahoma City Thunder,16407500,,24,"Tyson Chandler, C",Dallas Mavericks,14846888,,24,"Russell Westbrook, PG",Oklahoma City Thunder,14693906,,24,"Marc Gasol, C",Memphis Grizzlies,13891359,,24,"Al Jefferson, C",Utah Jazz,15000000,,24,"Carlos Boozer, PF",Chicago Bulls,14400000,,24,"Dwight Howard, C",Orlando Magic,15202590
25,"Andrew Wiggins, SF",Golden State Warriors,29542010,,25,"DeMar DeRozan, SF",San Antonio Spurs,27739975,,25,"Nikola Jokic, C",Denver Nuggets,24605181,,25,"Anthony Davis, PF",New Orleans Pelicans,23775506,,25,"DeAndre Jordan, C",LA Clippers,21165675,,25,"Tobias Harris, PF",Detroit Pistons,16000000,,25,"Gordon Hayward, SF",Utah Jazz,14746000,,25,"Emeka Okafor, C",Philadelphia 76ers,14487500,,25,"Blake Griffin, PF",LA Clippers,13701250,,25,"Andrew Bynum, C",Los Angeles Lakers,14900000,,25,"Dwyane Wade, G",Miami Heat,14200000,,25,"Joe Johnson, G",Atlanta Hawks,14976754
26,"Nikola Jokic, C",Denver Nuggets,29542010,,26,"CJ McCollum, SG",Portland Trail Blazers,27556959,,26,"Steven Adams, C",Oklahoma City Thunder,24157303,,26,"Harrison Barnes, SF",Dallas Mavericks,23112004,,26,"Nicolas Batum, PF",Charlotte Hornets,20869566,,26,"John Wall, PG",Washington Wizards,15851950,,26,"John Wall, PG",Washington Wizards,14746000,,26,"Eric Gordon, SG",New Orleans Pelicans,14283844,,26,"Brook Lopez, C",Brooklyn Nets,13668750,,26,"Andre Iguodala, F",Philadelphia 76ers,14718250,,26,"Baron Davis, PG",Cleveland Cavaliers,14000000,,26,"Elton Brand, PF",Philadelphia 76ers,14858472
27,"Kristaps Porzingis, C",Dallas Mavericks,29467800,,27,"Joel Embiid, C",Philadelphia 76ers,27504630,,27,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303,,27,"Chandler Parsons, SF",Memphis Grizzlies,23112004,,27,"LaMarcus Aldridge, C",San Antonio Spurs,20575005,,27,"DeMarcus Cousins, C",Sacramento Kings,15851950,,27,"DeMarcus Cousins, C",Sacramento Kings,14746000,,27,"Roy Hibbert, C",Indiana Pacers,14283844,,27,"Kevin Love, PF",Minnesota Timberwolves,13668750,,27,"Manu Ginobili, G",San Antonio Spurs,14107492,,27,"Paul Pierce, SF",Boston Celtics,13876321,,27,"Richard Jefferson, F",San Antonio Spurs,14200000
28,"Devin Booker, SG",Phoenix Suns,29467800,,28,"Andrew Wiggins, SF",Golden State Warriors,27504630,,28,"Marc Gasol, C",Toronto Raptors,24119025,,28,"Brook Lopez, C",Los Angeles Lakers,22642650,,28,"Blake Griffin, PF",LA Clippers,20140839,,28,"James Harden, SG",Houston Rockets,15756438,,28,"James Harden, SG",Houston Rockets,14728844,,28,"Luol Deng, F",Cleveland Cavaliers,14275000,,28,"Eric Gordon, SG",New Orleans Hornets,13668750,,28,"Chris Kaman, C",New Orleans Hornets,14030000,,28,"Andrew Bynum, C",Los Angeles Lakers,13700000,,28,"Chris Paul, PG",New Orleans Hornets,13520500
